,dates
1205,14/09/2017
1206,15/09/2017
1207,18/09/2017
1208,19/09/2017
1209,20/09/2017
1210,21/09/2017
1211,22/09/2017
1212,25/09/2017
1213,26/09/2017
1214,27/09/2017
1215,28/09/2017
1216,29/09/2017
1217,02/10/2017
1218,03/10/2017
1219,04/10/2017
1220,05/10/2017
1221,06/10/2017
1222,09/10/2017
1223,10/10/2017
1224,11/10/2017
1225,12/10/2017
1226,13/10/2017
1227,16/10/2017
1228,17/10/2017
1229,18/10/2017
1230,19/10/2017
1231,20/10/2017
1232,23/10/2017
1233,24/10/2017
1234,25/10/2017
1235,26/10/2017
1236,27/10/2017
1237,30/10/2017
1238,31/10/2017
1239,01/11/2017
1240,02/11/2017
1241,03/11/2017
1242,06/11/2017
1243,07/11/2017
1244,08/11/2017
1245,09/11/2017
1246,10/11/2017
1247,13/11/2017
1248,14/11/2017
1249,15/11/2017
1250,16/11/2017
1251,17/11/2017
1252,20/11/2017
1253,21/11/2017
1254,22/11/2017
1255,23/11/2017
1256,24/11/2017
1257,27/11/2017
1258,28/11/2017
1259,29/11/2017
1260,30/11/2017
1261,01/12/2017
1262,04/12/2017
1263,05/12/2017
1264,06/12/2017
1265,07/12/2017
1266,08/12/2017
1267,11/12/2017
1268,12/12/2017
1269,13/12/2017
1270,14/12/2017
1271,15/12/2017
1272,18/12/2017
1273,19/12/2017
1274,20/12/2017
1275,21/12/2017
1276,22/12/2017
1277,27/12/2017
1278,28/12/2017
1279,29/12/2017
1280,02/01/2018
1281,03/01/2018
1282,04/01/2018
1283,05/01/2018
1284,08/01/2018
1285,09/01/2018
1286,10/01/2018
1287,11/01/2018
1288,12/01/2018
1289,15/01/2018
1290,16/01/2018
1291,17/01/2018
1292,18/01/2018
1293,19/01/2018
1294,22/01/2018
1295,23/01/2018
1296,24/01/2018
1297,25/01/2018
1298,26/01/2018
1299,29/01/2018
1300,30/01/2018
1301,31/01/2018
1302,01/02/2018
1303,02/02/2018
1304,05/02/2018
1305,06/02/2018
1306,07/02/2018
1307,08/02/2018
1308,09/02/2018
1309,12/02/2018
1310,13/02/2018
1311,14/02/2018
1312,15/02/2018
1313,16/02/2018
1314,19/02/2018
1315,20/02/2018
1316,21/02/2018
1317,22/02/2018
1318,23/02/2018
1319,26/02/2018
1320,27/02/2018
1321,28/02/2018
1322,01/03/2018
1323,02/03/2018
1324,05/03/2018
1325,06/03/2018
1326,07/03/2018
1327,08/03/2018
1328,09/03/2018
1329,12/03/2018
1330,13/03/2018
1331,14/03/2018
1332,15/03/2018
1333,16/03/2018
1334,19/03/2018
1335,20/03/2018
1336,21/03/2018
1337,22/03/2018
1338,23/03/2018
1339,26/03/2018
1340,27/03/2018
1341,28/03/2018
1342,29/03/2018
1343,03/04/2018
1344,04/04/2018
1345,05/04/2018
1346,06/04/2018
1347,09/04/2018
1348,10/04/2018
1349,11/04/2018
1350,12/04/2018
1351,13/04/2018
1352,16/04/2018
1353,17/04/2018
1354,18/04/2018
1355,19/04/2018
1356,20/04/2018
1357,23/04/2018
1358,24/04/2018
1359,25/04/2018
1360,26/04/2018
1361,27/04/2018
1362,30/04/2018
1363,02/05/2018
1364,03/05/2018
1365,04/05/2018
1366,07/05/2018
1367,08/05/2018
1368,09/05/2018
1369,10/05/2018
1370,11/05/2018
1371,14/05/2018
1372,15/05/2018
1373,16/05/2018
1374,17/05/2018
1375,18/05/2018
1376,21/05/2018
1377,22/05/2018
1378,23/05/2018
1379,24/05/2018
1380,25/05/2018
1381,28/05/2018
1382,29/05/2018
1383,30/05/2018
1384,31/05/2018
1385,01/06/2018
1386,04/06/2018
1387,05/06/2018
1388,06/06/2018
1389,07/06/2018
1390,08/06/2018
1391,11/06/2018
1392,12/06/2018
1393,13/06/2018
1394,14/06/2018
1395,15/06/2018
1396,18/06/2018
1397,19/06/2018
1398,20/06/2018
1399,21/06/2018
1400,22/06/2018
1401,25/06/2018
1402,26/06/2018
1403,27/06/2018
1404,28/06/2018
1405,29/06/2018
1406,02/07/2018
1407,03/07/2018
1408,04/07/2018
1409,05/07/2018
1410,06/07/2018
1411,09/07/2018
1412,10/07/2018
1413,11/07/2018
1414,12/07/2018
1415,13/07/2018
1416,16/07/2018
1417,17/07/2018
1418,18/07/2018
1419,19/07/2018
1420,20/07/2018
1421,23/07/2018
1422,24/07/2018
1423,25/07/2018
1424,26/07/2018
1425,27/07/2018
1426,30/07/2018
1427,31/07/2018
1428,01/08/2018
1429,02/08/2018
1430,03/08/2018
1431,06/08/2018
1432,07/08/2018
1433,08/08/2018
1434,09/08/2018
1435,10/08/2018
1436,13/08/2018
1437,14/08/2018
1438,15/08/2018
1439,16/08/2018
1440,17/08/2018
1441,20/08/2018
1442,21/08/2018
1443,22/08/2018
1444,23/08/2018
1445,24/08/2018
1446,27/08/2018
1447,28/08/2018
1448,29/08/2018
1449,30/08/2018
1450,31/08/2018
1451,03/09/2018
1452,04/09/2018
1453,05/09/2018
1454,06/09/2018
1455,07/09/2018
1456,10/09/2018
1457,11/09/2018
1458,12/09/2018
1459,13/09/2018
1460,14/09/2018
1461,17/09/2018
1462,18/09/2018
1463,19/09/2018
1464,20/09/2018
1465,21/09/2018
1466,24/09/2018
1467,25/09/2018
1468,26/09/2018
1469,27/09/2018
1470,28/09/2018
1471,01/10/2018
1472,02/10/2018
1473,03/10/2018
1474,04/10/2018
1475,05/10/2018
1476,08/10/2018
1477,09/10/2018
1478,10/10/2018
1479,11/10/2018
1480,12/10/2018
1481,15/10/2018
1482,16/10/2018
1483,17/10/2018
1484,18/10/2018
1485,19/10/2018
1486,22/10/2018
1487,23/10/2018
1488,24/10/2018
1489,25/10/2018
1490,26/10/2018
1491,29/10/2018
1492,30/10/2018
1493,31/10/2018
1494,01/11/2018
1495,02/11/2018
1496,05/11/2018
1497,06/11/2018
