,BNP.PA.Open,BNP.PA.High,BNP.PA.Low,BNP.PA.Close,BNP.PA.Volume,BNP.PA.Adjusted
2017-07-14,67.019997,67.040001,65.709999,66.300003,3192918,58.518097
2017-07-17,66.470001,66.489998,65.529999,65.860001,2519843,58.129742
2017-07-18,65.599998,65.879997,64.379997,64.760002,4170565,57.158855
2017-07-19,65.150002,65.150002,64,64.839996,4175125,57.229462
2017-07-20,65,65.040001,63.98,64.290001,3971838,56.744019
2017-07-21,64.18,64.519997,63.310001,63.639999,4642756,56.170311
2017-07-24,63.77,64.709999,63.25,64.230003,3163575,56.691063
2017-07-25,64.139999,65.800003,64.110001,65.169998,4083693,57.520725
2017-07-26,65.199997,65.900002,65.120003,65.900002,3087146,58.165047
2017-07-27,65.139999,66.029999,65.010002,66,3221333,58.253307
2017-07-28,65.389999,66.43,65.050003,66.099998,4158297,58.341572
2017-07-31,65.949997,66.400002,65.57,65.57,3582205,57.873775
2017-08-01,66.360001,66.989998,65.790001,66.790001,3276531,58.950584
2017-08-02,66.910004,66.989998,66.040001,66.559998,3016521,58.747574
2017-08-03,66.300003,67.540001,66.089996,67.220001,3115321,59.330112
2017-08-04,66.870003,68.120003,66.639999,68.120003,3262506,60.124474
2017-08-07,68.199997,68.550003,67.93,68.550003,2564334,60.504005
2017-08-08,68.459999,68.889999,68.339996,68.889999,2799465,60.804096
2017-08-09,68.169998,68.290001,66.699997,67.269997,3957968,59.374241
2017-08-10,67.300003,67.43,66.010002,66.690002,3216825,58.86232
2017-08-11,66.129997,66.510002,65.050003,65.690002,3731598,57.979694
2017-08-14,66.190002,67.150002,65.849998,66.690002,2820929,58.86232
2017-08-15,67,67.43,66.610001,67.190002,1815987,59.303635
2017-08-16,67.599998,67.870003,67.230003,67.239998,2124985,59.347763
2017-08-17,66.889999,66.980003,65.57,66.199997,3343834,58.429829
2017-08-18,65.120003,66.160004,64.949997,65.989998,3331532,58.24448
2017-08-21,65.489998,65.489998,64.25,64.68,3030840,57.088242
2017-08-22,65.25,65.400002,64.739998,65.120003,2123303,57.476601
