date,FP.PA,MC.PA,SAN.PA,AIR.PA,OR.PA
03/07/2014,40.0172,126.230118,61.54287,43.51078,116.642525
04/07/2014,40.032288,125.340202,61.204506,43.702072,116.413368
07/07/2014,39.240387,124.272354,60.456951,43.0462,114.946747
08/07/2014,38.780334,123.204498,59.969097,42.681828,114.259262
09/07/2014,38.870846,124.138878,60.102859,42.81847,115.725891
10/07/2014,38.154362,124.005386,59.567764,42.64539,114.855087
11/07/2014,38.290115,124.005386,59.654331,42.91412,115.405075
14/07/2014,38.546535,124.895271,60.173679,42.936893,116.275871
15/07/2014,37.754642,123.426971,59.386787,42.362999,114.900902
16/07/2014,38.380619,124.583809,60.165802,41.319984,116.321701
17/07/2014,37.505756,123.293472,59.496956,40.973827,115.35923
18/07/2014,37.897938,123.159966,59.858917,40.51836,116.505035
21/07/2014,37.55101,123.204498,59.654331,39.434349,116.413368
22/07/2014,38.727547,123.916382,60.582867,40.450035,117.559174
23/07/2014,38.772793,124.405838,60.535652,40.923725,117.925812
24/07/2014,39.157425,125.696144,60.842533,41.319984,118.338318
25/07/2014,38.539001,117.153275,59.788097,40.536575,116.321701
28/07/2014,39.051834,117.064278,60.063511,40.099327,117.009186
29/07/2014,39.383694,117.197762,60.449093,39.79417,117.559174
30/07/2014,37.441658,115.907433,60.504169,40.992043,117.375847
31/07/2014,36.268887,114.43914,61.86549,39.498116,115.863388
01/08/2014,36.223644,114.12767,62.093693,38.874123,113.755112
04/08/2014,36.555485,113.415764,62.542221,38.796692,113.800941
05/08/2014,36.623363,115.462502,62.557968,38.669163,116.505035
06/08/2014,36.725174,115.195526,61.755333,39.156509,115.90921
07/08/2014,36.419727,112.97081,60.771713,38.769371,115.084251
08/08/2014,36.449898,112.703857,61.102215,38.455093,114.121758
11/08/2014,36.872242,113.593742,61.361885,39.484451,114.671745
12/08/2014,36.050182,113.816216,60.93697,39.22028,113.571785
13/08/2014,36.2425,114.350151,61.535007,39.256718,114.442581
14/08/2014,36.114285,114.083168,61.794678,39.721291,115.130066
15/08/2014,35.695713,113.193298,61.377617,39.598316,113.984268
18/08/2014,36.057724,114.350151,62.64452,40.199535,114.900902
19/08/2014,36.389553,115.373489,62.7547,40.677773,114.946747
20/08/2014,36.464981,115.551483,62.384842,40.536575,114.580086
21/08/2014,36.932571,116.26339,63.415665,40.705101,115.175903
22/08/2014,36.136906,115.240013,62.502884,40.746094,114.396767
25/08/2014,37.151291,117.331268,63.966507,41.852882,116.780029
26/08/2014,37.732006,118.488098,65.264893,42.399437,117.879997
27/08/2014,37.513306,118.087662,65.618988,42.599842,116.871681
28/08/2014,37.392628,117.286758,64.895035,42.449539,116.092537
29/08/2014,37.852692,117.509224,65.705536,42.63628,115.496727
01/09/2014,38.116653,118.265617,65.737007,42.631725,116.230042
02/09/2014,37.611347,118.399124,65.910126,42.813911,117.375847
03/09/2014,38.048779,121.825172,66.775719,43.119076,117.192505
04/09/2014,39.044304,122.448097,67.476036,44.521915,119.163292
05/09/2014,38.772793,121.602684,67.224243,44.808861,117.788338
08/09/2014,38.342903,121.246742,67.491768,44.53558,116.596695
