res <- geneticProgramming(  functionSet = Fset,
+                             inputVariables = Var,
+                             constantSet = cFset,
+                             fitnessFunction = fF,
+                             stopCondition = makeTimeStopCondition(300))
STARTING genetic programming evolution run (Age/Fitness/Complexity Pareto GP search-heuristic) ...
evolution step 20200, fitness evaluations: 1009950, best fitness: 0.000418, time elapsed: 2 minutes, 41.59 seconds
evolution step 20300, fitness evaluations: 1014950, best fitness: 0.000418, time elapsed: 2 minutes, 42.32 seconds
evolution step 20400, fitness evaluations: 1019950, best fitness: 0.000418, time elapsed: 2 minutes, 43.07 seconds
evolution step 20500, fitness evaluations: 1024950, best fitness: 0.000418, time elapsed: 2 minutes, 43.78 seconds
evolution step 20600, fitness evaluations: 1029950, best fitness: 0.000418, time elapsed: 2 minutes, 44.48 seconds
evolution step 20700, fitness evaluations: 1034950, best fitness: 0.000418, time elapsed: 2 minutes, 45.18 seconds
evolution step 20800, fitness evaluations: 1039950, best fitness: 0.000418, time elapsed: 2 minutes, 45.9 seconds
evolution step 20900, fitness evaluations: 1044950, best fitness: 0.000418, time elapsed: 2 minutes, 46.62 seconds
evolution step 21000, fitness evaluations: 1049950, best fitness: 0.000418, time elapsed: 2 minutes, 47.34 seconds
evolution step 21100, fitness evaluations: 1054950, best fitness: 0.000418, time elapsed: 2 minutes, 48.07 seconds
evolution step 21200, fitness evaluations: 1059950, best fitness: 0.000418, time elapsed: 2 minutes, 48.78 seconds
evolution step 21300, fitness evaluations: 1064950, best fitness: 0.000418, time elapsed: 2 minutes, 49.54 seconds
evolution step 21400, fitness evaluations: 1069950, best fitness: 0.000418, time elapsed: 2 minutes, 50.22 seconds
evolution step 21500, fitness evaluations: 1074950, best fitness: 0.000418, time elapsed: 2 minutes, 50.92 seconds
evolution step 21600, fitness evaluations: 1079950, best fitness: 0.000418, time elapsed: 2 minutes, 51.62 seconds
evolution step 21700, fitness evaluations: 1084950, best fitness: 0.000418, time elapsed: 2 minutes, 52.34 seconds
evolution step 21800, fitness evaluations: 1089950, best fitness: 0.000418, time elapsed: 2 minutes, 53.11 seconds
evolution step 21900, fitness evaluations: 1094950, best fitness: 0.000418, time elapsed: 2 minutes, 53.81 seconds
evolution step 22000, fitness evaluations: 1099950, best fitness: 0.000418, time elapsed: 2 minutes, 54.59 seconds
evolution step 22100, fitness evaluations: 1104950, best fitness: 0.000418, time elapsed: 2 minutes, 55.34 seconds
evolution step 22200, fitness evaluations: 1109950, best fitness: 0.000418, time elapsed: 2 minutes, 56.09 seconds
evolution step 22300, fitness evaluations: 1114950, best fitness: 0.000418, time elapsed: 2 minutes, 56.81 seconds
evolution step 22400, fitness evaluations: 1119950, best fitness: 0.000418, time elapsed: 2 minutes, 57.53 seconds
evolution step 22500, fitness evaluations: 1124950, best fitness: 0.000418, time elapsed: 2 minutes, 58.2 seconds
evolution step 22600, fitness evaluations: 1129950, best fitness: 0.000418, time elapsed: 2 minutes, 58.9 seconds
evolution step 22700, fitness evaluations: 1134950, best fitness: 0.000418, time elapsed: 2 minutes, 59.59 seconds
evolution step 22800, fitness evaluations: 1139950, best fitness: 0.000418, time elapsed: 3 minutes, 0.32 seconds
evolution step 22900, fitness evaluations: 1144950, best fitness: 0.000418, time elapsed: 3 minutes, 1.07 seconds
evolution step 23000, fitness evaluations: 1149950, best fitness: 0.000418, time elapsed: 3 minutes, 1.82 seconds
evolution step 23100, fitness evaluations: 1154950, best fitness: 0.000418, time elapsed: 3 minutes, 2.62 seconds
evolution step 23200, fitness evaluations: 1159950, best fitness: 0.000418, time elapsed: 3 minutes, 3.34 seconds
evolution step 23300, fitness evaluations: 1164950, best fitness: 0.000418, time elapsed: 3 minutes, 4.04 seconds
evolution step 23400, fitness evaluations: 1169950, best fitness: 0.000418, time elapsed: 3 minutes, 4.75 seconds
evolution step 23500, fitness evaluations: 1174950, best fitness: 0.000418, time elapsed: 3 minutes, 5.45 seconds
evolution step 23600, fitness evaluations: 1179950, best fitness: 0.000418, time elapsed: 3 minutes, 6.18 seconds
evolution step 23700, fitness evaluations: 1184950, best fitness: 0.000418, time elapsed: 3 minutes, 6.93 seconds
evolution step 23800, fitness evaluations: 1189950, best fitness: 0.000418, time elapsed: 3 minutes, 7.64 seconds
evolution step 23900, fitness evaluations: 1194950, best fitness: 0.000418, time elapsed: 3 minutes, 8.37 seconds
